"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-19","12.75","0.00","0.0",,"63","41","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-20","12.30","0.00","0.0",,"44","32",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-21","9.40","0.00","0.0",,"52","28",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-22","10.51","0.31","0.0",,"62","38","    1",,,,,,,,,,,,"    1",,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-23","16.55","0.08","0.0",,"66","47","    1",,"    1",,"    1",,,,,,,,,,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-24","16.33","0.00","0.0",,"48","32",,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-25","19.46","0.00","0.0",,"32","19",,,,,,,,,,,,,,,,,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-26","10.51","0.00","0.0",,"31","14",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-27","10.29","0.01","0.0",,"41","23",,,,"    1",,,,,,,,,,,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-02-28","11.41","0.00","0.0",,"52","30",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-01","10.07","0.00","0.0",,"46","28",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-02","10.51","0.05","0.0",,"50","34","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-03","8.05","0.01","0.0",,"61","40","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-04","11.41","0.00","0.0",,"43","28",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-05","8.05","0.00","0.0",,"55","30",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-06","12.75","0.00","0.0",,"51","32","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-07","10.29","0.00","0.0",,"41","22",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-08","7.83","0.00","0.0",,"48","23",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-09","7.61","0.01","0.0",,"66","39",,,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-10","6.49","0.00","0.0",,"70","47","    1",,,,,,,"    1",,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-11","4.92","0.01","0.0",,"69","48","    1",,,,,,,"    1",,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-12","8.28","0.00","0.0",,"89","51","    1",,,,,,,"    1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-13","9.40","0.00","0.0",,"87","55",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-14","7.38","0.00","0.0",,"86","56",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-15","13.20","0.00","0.0",,"81","60",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-16","12.08","0.03","0.0",,"81","63",,,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-17","12.30","1.34","0.0",,"72","54","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-18","12.53","0.01","0.0",,"64","50","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-19","12.97","0.01","0.0",,"66","42",,,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-20","17.67","0.10","0.4",,"42","34","    1",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-21","13.20","0.00","0.0",,"57","34",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-22","12.30","0.00","0.0",,"69","38",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-23","14.99","0.00","0.0",,"71","45",,,,,,,,,,,,,,,,,,,,
